KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTNAME50001;A new special relationship;;;;;;;;;;;;;x
EVTDESC50001;$FROMCOUNTRY$ after so many years has decided that being closer to us diplomatically is beneficial for all Germans and therefore we have been able to agree to this special relationship with them. This new relationship will give us more prestige worldwide and will be another step towards unification!;;;;;;;;;;;;;x
EVTOPTA50001;This will be very beneficious for all;;;;;;;;;;;;;x
EVTNAME50000;A new special relationship;;;;;;;;;;;;;x
EVTDESC50000;Foreign investments in our country have led us to be totally dependent on the outside, now whether to follow this path or, on the contrary, we will anger our major investors...;;;;;;;;;;;;;x
EVTOPTA50000;Well...;;;;;;;;;;;;;x
EVTOPTB50000;NEVER!;;;;;;;;;;;;;x
EVTNAME50002;Only one step more;;;;;;;;;;;;;x
EVTDESC50002;The North German Confederation has been proclamated. And we have obtained an offer to join as an autonomous province of the same. we should accept, as this would be one more step towards the longed-for unification. the invitation also specifies that if we reject it, it could bring serious consequences...;;;;;;;;;;;;;x
EVTOPTA50002;Ok, this is necessary for all.;;;;;;;;;;;;;x
EVTOPTB50002;We are free now and forever!;;;;;;;;;;;;;x
EVTNAME50003;Treaty of Budapest;;;;;;;;;;;;;x
EVTDESC50003;The fall of the Habsburg monarchy in Austria has brought us to our major objectives and we now have the task of deciding what to do with the rest of the empire. We can liberate all the non-German peoples, we can treat them as vassals or we can directly annex the whole empire, what do you say kaiser?;;;;;;;;;;;;;x
EVTOPTA50003;May they be released!;;;;;;;;;;;;;x
EVTOPTB50003;They could be useful to us in the future...;;;;;;;;;;;;;x
EVTOPTC50003;We should annex everything!;;;;;;;;;;;;;x
EVTNAME50004;Treaty of Budapest - Venecia;;;;;;;;;;;;;x
EVTDESC50004;What should we do with Venice? We can make the city and its surrounding territories independent, as well as Lombardy and Croatia. Or we can give Venice all these territories in exchange for tribute, what should we do?;;;;;;;;;;;;;x
EVTOPTA50004;Venice must be great!;;;;;;;;;;;;;x
EVTOPTB50004;I don't think it's a good idea to give him too much;;;;;;;;;;;;;x
EVTNAME50006;Treaty of Budapest - Hungary;;;;;;;;;;;;;x
EVTDESC50006;With Hungary we also have a problem, we can either liberate Slovakia and Trieste or we can make the whole kingdom of Hungary independent in its entirety. What should we do?;;;;;;;;;;;;;x
EVTOPTA50006;Hungary is great!;;;;;;;;;;;;;x
EVTOPTB50006;A big country is a big problem�;;;;;;;;;;;;;x
EVTNAME50010;Italy becomes powerful;;;;;;;;;;;;;x
EVTOPTA50010;We will go to war if necessary!;;;;;;;;;;;;;x
EVTOPTB50010;We can grant them independence;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
